Item,NAEP ID,aj,bj,cj,dj1,dj2,dj3,dj4
6,M185901,1.74,1.48,0.16,†,†,†,†
10,M183901,1.63,0.3,†,†,†,†,†
1,M196701,0.61,0.02,0.28,†,†,†,†
2,M181701,0.65,-1.85,0.22,†,†,†,†
9,M197401,1.61,0.15,0.3,†,†,†,†
5,M177001,1.18,-0.19,0.27,†,†,†,†
12,M197801,1.6,0.69,0.25,†,†,†,†
2,M175701,1.33,0.73,0.25,†,†,†,†
12,M180301,1.78,1.55,0.06,†,†,†,†
1,M182901,1.76,1.44,0.25,†,†,†,†
5,M180801,1.27,0.28,0.16,†,†,†,†
3,M193101,1.02,1,†,†,†,†,†
6,M194101,1.54,0.55,0.16,†,†,†,†
1,M199001,0.96,-1.09,0.25,†,†,†,†
3,M180601,2.4,0.81,0.22,†,†,†,†
8,M184401,2.09,0.64,0.23,†,†,†,†
1,M199701,0.74,-1.3,0.23,†,†,†,†
9,M181801,2.44,0.91,†,†,†,†,†
14,M178701,0.71,2.42,†,-0.05,-0.86,0.91,†
8,M094901,1.18,-0.41,0.1,†,†,†,†
9,M095001,0.63,-0.23,†,-0.48,0.48,†,†
14,M056801,1.67,0.89,†,†,†,†,†
3,M071503,0.98,0.27,0.22,†,†,†,†
4,M071601,1.09,0,0.26,†,†,†,†
9,M059001,1.14,0.24,0.18,†,†,†,†
14,M059601,1.78,1.04,0.1,†,†,†,†
5,M021401,1.17,-0.24,†,†,†,†,†
7,M094501,0.84,0.14,0.22,†,†,†,†
11,M056601,1.38,0.95,0.11,†,†,†,†
12,M056501,1.76,1.2,0.22,†,†,†,†
1,M130901,0.94,-1.04,0.29,†,†,†,†
4,M131301,0.92,0.59,0.27,†,†,†,†
3,M076101,0.53,-1.83,†,0.95,-0.95,†,†
6,M073801,0.82,0.41,†,-1.07,1.07,†,†
1,M012231,0.77,-2.68,0.19,†,†,†,†
2,M012431,0.62,-1.44,0.15,†,†,†,†
3,M073001,1.05,-1.07,0.17,†,†,†,†
5,M073101,0.72,-0.03,0.27,†,†,†,†
14,M092501,0.71,1.29,0.35,†,†,†,†
15,M071201,0.58,0.89,†,-0.86,0.86,†,†
21,M071401,0.36,1.52,†,-4.65,1.11,0.3,3.24
1,M059201,0.97,-1.09,0.21,†,†,†,†
2,M052401,0.56,-0.36,†,†,†,†,†
7,M076201,0.87,0.27,0.35,†,†,†,†
12,M074001,1.41,0.39,†,0.05,-0.05,†,†
2,M058601,1.11,-0.24,0.28,†,†,†,†
1,M125901,1.33,0.81,0.21,†,†,†,†
3,M126301,1.05,-0.16,0.25,†,†,†,†
3,M134601,1.75,0.94,†,†,†,†,†
13,M135301,1.56,0.6,0.25,†,†,†,†
1,M192801,0.87,-1.59,0.19,†,†,†,†
7,M178001,1.02,1.3,†,-0.32,0.32,†,†
8,M196601,0.95,-0.23,0.19,†,†,†,†
2,M175801,1.74,1.44,0.37,†,†,†,†
6,M196901,0.72,-0.19,0.16,†,†,†,†
10,M176801,0.83,1.54,0.12,†,†,†,†
12,M195001,1.03,1.46,†,-0.64,0.64,†,†
4,M197301,0.62,-0.02,0.18,†,†,†,†
5,M197302,0.75,-0.04,0.14,†,†,†,†
6,M197303,1.33,1.65,†,†,†,†,†
7,M197304,1.37,1.39,†,†,†,†,†
10,M1975CL,0.85,1.38,†,1.49,-0.75,-1.08,0.33
1,M184201,1.22,0.78,†,†,†,†,†
7,M174901,1.54,1.47,0.13,†,†,†,†
11,M174801,1.33,2.57,†,0.25,-0.25,†,†
13,M180101,1.91,2.03,0.15,†,†,†,†
4,M194501,0.24,0.71,0.21,†,†,†,†
7,M185702,2.72,1.42,0.1,†,†,†,†
8,M185703,1.12,1.46,†,0.44,-1.64,0.63,0.56
11,M187701,0.73,0.79,†,-0.54,0.54,†,†
6,M183401,1.41,1.83,†,-0.48,0.48,†,†
9,M175001,0.85,-0.3,0.26,†,†,†,†
10,M175002,0.88,1.63,†,-0.44,1.97,0.94,-2.47
13,M182201,2.91,2.15,0.21,†,†,†,†
2,M191501,1.41,-0.44,0.16,†,†,†,†
4,M195501,0.82,0.02,0.2,†,†,†,†
7,M180201,0.76,2.3,†,-1.03,1.25,0.52,-0.75
11,M191201,2.01,1.11,0.18,†,†,†,†
13,M191401,0.71,0.97,†,0.28,-0.28,†,†
2,M193801,0.93,-0.68,0.23,†,†,†,†
